Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2004-02-05,395.15,403.422,392.148,394.387,2345.4896758569
2004-02-06,391.373,396.643,386.105,394.387,2095.2596250898
2004-02-09,401.165,406.435,391.751,393.253,310.2852629512
2004-02-10,398.154,398.154,391.373,392.893,136.79242775267
2004-02-11,395.15,395.897,388.371,395.897,240.22084873641
2004-02-12,398.53,398.53,395.897,395.897,2337.7047409441
2004-02-13,391.751,398.9,391.751,398.9,43.37320879963
2004-02-16,399.665,404.943,399.665,404.943,46.709609476524
2004-02-17,405.68,406.435,400.419,405.68,117.88615725027
2004-02-18,402.677,405.68,402.677,405.68,84.52215048133
2004-02-19,400.419,404.943,398.9,404.943,1356.8029419371
2004-02-20,395.15,402.677,395.15,402.281,46.709609476524
2004-02-23,398.9,398.9,395.15,398.9,36.700407445841
2004-02-24,396.643,398.9,391.373,391.751,147.91376334232
2004-02-25,391.373,399.278,387.616,399.278,293.60325956672
2004-02-26,392.148,400.419,391.373,400.419,220.20244467505
2004-02-27,392.148,398.9,391.373,398.9,389.24674563771
2004-03-01,391.751,398.9,391.751,398.9,345.87353683807
2004-03-02,392.893,401.534,391.373,401.534,1796.0956977282
2004-03-03,401.534,402.677,401.165,402.677,299.16392736155
2004-03-04,405.68,405.68,402.677,402.677,147.91376334232
2004-03-05,395.519,403.8,395.519,402.677,291.3789924488
2004-03-08,402.677,406.435,402.677,403.422,1564.7719174635
2004-03-09,395.519,402.677,395.15,402.677,20.018404061367
2004-03-10,404.943,404.943,391.373,391.373,213.52964332126
2004-03-11,398.53,398.9,376.331,383.847,342.53713616118
2004-03-12,382.346,387.616,377.455,387.616,432.61995443733
2004-03-15,383.847,383.847,378.587,383.847,322.51873209981
2004-03-16,378.21,385.735,378.21,385.735,192.39910570092
2004-03-17,387.616,387.616,380.843,386.86,491.56303306247
2004-03-18,384.613,387.229,383.847,387.229,236.88444805952
2004-03-19,384.613,387.229,378.965,387.229,200.18404061367
2004-03-22,384.613,384.613,384.613,384.613,5.5606677948243
2004-03-23,380.843,387.229,380.843,387.229,262.46351991571
2004-03-24,383.847,386.105,383.093,386.105,34.476140327911
2004-03-25,386.86,386.86,383.847,385.735,819.64243295711
2004-03-26,387.229,387.229,385.735,386.86,68.952280655822
2004-03-29,386.86,391.373,386.86,391.373,83.410016922365
2004-03-30,394.773,394.773,389.494,389.891,111.21335589649
2004-03-31,389.891,389.891,387.616,389.126,629.46759437412
2004-04-01,387.994,387.994,387.994,387.994,2.2242671179297
2004-04-02,387.994,395.15,387.994,387.994,1018.7143400118
2004-04-05,394.773,394.773,387.616,393.253,127.89535928096
