Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2024-04-15,54.9692,55.8632,54.9692,55.3306,1314315.5281587
2024-04-16,54.5888,54.8932,52.896,53.1243,4706113.6479578
2024-04-17,53.5427,55.4257,53.3715,55.1024,3140110.7449459
2024-04-18,55.2736,56.0154,54.703,55.9583,3107084.2754845
2024-04-19,55.5779,56.2626,55.1024,56.2246,3532666.1221959
2024-04-22,56.4148,57.48,56.4148,57.1756,2462068.6730819
2024-04-23,57.2517,59.9907,57.2517,59.5151,3974444.1772908
2024-04-24,59.4391,59.8385,58.9445,59.5532,3362852.5102179
2024-04-25,59.3059,59.7054,58.6212,58.9636,4331878.5030433
2024-04-26,59.2489,59.6483,58.412,58.6782,3152783.3868623
2024-04-29,58.6022,59.1538,57.3658,58.5071,2275699.2407445
2024-04-30,58.8685,58.8685,57.4609,57.7272,2863322.0335655
2024-05-02,58.0315,58.5261,56.7001,57.1186,2358756.9892484
2024-05-06,57.1756,58.5261,56.4719,58.2027,4092152.9581304
2024-05-07,58.5071,58.6782,57.2137,57.6511,2979384.1700938
2024-05-08,57.4419,57.9364,57.0615,57.8033,2590288.2179936
2024-05-09,58.2027,58.7353,57.5751,57.6511,2015623.0227774
2024-05-10,58.2027,58.2598,54.741,54.741,3871728.6922597
2024-05-13,54.8932,55.5969,54.4747,55.2165,1926892.4479261
2024-05-14,55.1214,55.3497,53.8661,54.8551,3251382.2611149
2024-05-15,54.741,55.0453,54.0563,54.779,3612965.7940531
2024-05-16,54.8361,55.3306,54.3226,54.6649,2455066.754519
2024-05-17,54.3416,54.6459,53.4666,54.2655,2116035.7293654
2024-05-20,54.3606,54.8171,54.1514,54.3986,3165348.776084
2024-05-21,54.3796,54.3796,53.828,54.3416,2291757.7030201
2024-05-22,54.3416,54.3416,53.6759,54.2084,2246759.9401454
2024-05-23,54.3796,56.1485,54.2465,55.4828,2376206.582063
2024-05-24,55.0453,55.2926,54.4747,55.1785,1922940.9221776
2024-05-27,55.1785,55.711,55.1404,55.4448,1412702.0000161
2024-05-28,55.635,55.7871,54.722,55.1024,2060753.274275
2024-05-29,55.0263,55.3497,54.5318,54.6459,2688153.147336
2024-05-31,55.1785,57.2137,54.9312,56.4528,6431388.9054625
2024-06-03,57.0425,57.3278,56.0344,56.1105,1621327.4179825
2024-06-04,56.3007,56.3007,53.1433,53.4286,3110884.3856642
2024-06-05,53.6378,54.4937,53.4666,54.2274,1785690.0694814
2024-06-06,54.6079,55.0834,54.2084,54.8932,1571143.6718742
2024-06-07,55.0644,55.0834,53.5998,54.1514,1713929.6048099
2024-06-10,54.1514,54.1514,53.2384,53.771,1418163.4754653
2024-06-11,53.9231,54.3796,53.0482,53.4286,1841634.9676856
2024-06-12,53.5998,55.1024,53.5427,54.5318,2261083.4323611
2024-06-13,54.3035,54.6839,53.809,53.9041,2014747.1257714
2024-06-14,53.9231,54.5888,53.9041,54.4937,5652938.3329985
2024-06-17,54.5698,55.8062,54.1704,55.711,2532862.8120049
2024-06-18,56.0534,57.499,56.0154,56.3387,3752545.7126176
2024-06-19,56.3007,57.9364,55.5399,57.537,2738510.3904504
2024-06-20,58.0125,59.2489,57.7082,58.2978,2274815.9832594
2024-06-21,58.3549,58.7733,57.3658,57.6321,4323971.2455582
2024-06-24,57.6321,58.7543,57.1186,58.469,1385621.7461236
2024-06-25,58.45,59.7814,58.1076,59.4581,3501925.6072255
2024-06-26,59.5342,59.8005,58.9445,59.2108,1895222.4096024
2024-06-27,59.42,59.7244,59.0777,59.5722,2017014.1533164
2024-06-28,59.4961,60.333,59.3249,59.8385,4690200.292269
2024-07-01,59.8385,60.4281,59.382,59.5151,1226726.8790559
2024-07-02,59.344,59.4391,58.412,58.8114,1201116.6179778
2024-07-03,59.2298,59.7244,58.5071,58.6782,1794762.3856492
2024-07-04,59.2489,59.2489,58.431,58.8304,1273124.1844456
2024-07-05,58.9636,59.0016,57.9364,58.0506,1052842.9221677
2024-07-08,57.9364,58.7733,57.7462,58.45,953967.50420248
2024-07-09,58.6782,59.0396,58.2027,58.6782,2549450.1772745
2024-07-10,58.6782,59.0777,58.2408,58.412,2775318.0431454
2024-07-11,58.5261,58.8875,58.0696,58.3549,2296912.1413435
2024-07-12,58.469,58.469,57.9364,58.2788,1836684.5197814
2024-07-15,58.0315,58.488,57.6131,58.1837,1757986.2778643
2024-07-16,57.8413,58.2408,56.7191,56.7572,2987244.1102137
2024-07-17,56.7001,57.3278,55.3116,55.9964,2180357.9042164
2024-07-18,56.8142,58.0696,56.2246,58.0125,3486693.6215966
2024-07-19,58.0125,58.1076,56.1295,57.2137,2822377.7916489
2024-07-22,57.537,58.0506,57.1946,57.8223,2014945.8587056
2024-07-23,57.556,57.7082,56.0534,56.4909,1296322.311392
2024-07-24,55.9203,57.0805,55.8062,56.3768,1513332.3664843
2024-07-25,55.5779,56.3768,55.3877,56.3007,1654564.1868452
2024-07-26,56.1295,56.9474,55.9203,56.2436,949834.0694719
2024-07-29,56.4528,57.2137,56.0724,56.4528,1418768.0862437
2024-07-30,56.605,56.8523,55.4067,55.5399,1545179.056305
2024-07-31,56.0915,56.624,55.711,56.0724,2223441.9425403
2024-08-01,56.5289,56.624,54.7981,55.1214,2335040.4742781
2024-08-02,54.5318,54.5698,52.5727,53.1433,3398081.865907
2024-08-05,51.6026,51.7738,50.3663,51.4124,3670797.0778861
2024-08-06,51.7928,51.964,49.2821,50.1,3185899.2335692
2024-08-07,50.84,50.98,49.74,49.84,3168511
2024-08-08,49.64,50.8,48.5,50.72,4395798
2024-08-09,51.22,52.66,51.06,51.92,2574476
2024-08-12,52.3,54.04,51.58,54.04,2102908
2024-08-13,54.34,55.1,53.48,53.72,2986502
2024-08-14,54.68,54.8,53.9,54.7,2321070
2024-08-16,55,57,55,56.72,2711686
2024-08-19,56.5,57.26,56.04,57.14,1652692
2024-08-20,57.14,57.2,55.64,56,1752421
2024-08-21,55.8,56.64,55.8,55.92,2674616
2024-08-22,57.5,57.74,56.46,56.58,2834003
2024-08-23,57.4,58.3,57,57.66,1807301
2024-08-26,57.64,57.94,56.28,56.82,1308298
2024-08-27,56.84,57.02,55.5,56.48,1623223
2024-08-28,56.5,56.8,55.8,56.56,1314756
2024-08-29,56.56,58.16,56.56,57.7,2508254
2024-08-30,58,58.06,57.14,57.88,2800725
2024-09-02,57.56,59.08,57.06,58.72,1147939
2024-09-03,58.66,59,58.04,58.04,1279049
2024-09-04,57.22,58.32,57.04,58.28,1240999
2024-09-05,58.3,58.94,57.48,57.96,1474164
2024-09-06,57.48,57.88,56.3,56.3,2902515
2024-09-09,56.32,57.04,56.02,56.86,1582276
2024-09-10,56.86,57.28,55.74,56.58,3084626
2024-09-11,55.58,56.38,53.92,54.02,5370122
2024-09-12,55.32,55.5,54.64,55.16,2317218
2024-09-13,55.4,57.18,55.3,57.18,2693382
2024-09-16,56.8,57.28,52.5,55.82,1518884
2024-09-17,56.6,56.84,55.68,56.34,2415521
2024-09-18,56.48,57,56.08,56.54,1592966
2024-09-19,57,57.1,55.8,57,2623253
2024-09-20,57.04,57.12,55.02,55.74,7338703
2024-09-23,55.96,56.5,55.16,55.74,1538691
2024-09-24,56.3,57.94,56.14,57.36,2849595
2024-09-25,56.94,57.72,56.56,57.26,1353307
2024-09-26,57.58,58.92,57.58,58.18,2032516
2024-09-27,57.5,58.56,57.5,58.26,1035115
2024-09-30,58.08,58.18,55.98,55.98,2698601
2024-10-01,56.16,56.34,54.46,54.86,2287962
2024-10-02,54.88,55.58,54.4,54.8,1094303
2024-10-03,54,54.64,53.7,53.92,1911542
2024-10-04,54,54.42,53.44,54.08,1561644
2024-10-07,54.5,54.66,53.3,54.14,1541133
2024-10-08,53.92,55.6,53.44,55.02,2281676
2024-10-09,54.56,57.06,54.56,56.82,2070666
2024-10-10,56.82,57.28,56.48,56.92,2272616
2024-10-11,57.22,58.46,57,58.16,1854607
2024-10-14,58.12,58.76,57.84,58.22,1570251
2024-10-15,58.3,58.72,57.94,58.24,1702816
2024-10-16,58.24,59.38,58,58.62,4831591
2024-10-17,59,59.26,57.16,57.38,1794569
2024-10-18,57.08,58.44,57.08,57.72,953936
2024-10-21,57.8,57.8,56.22,56.22,1979615
2024-10-22,56.48,56.48,55.2,55.52,2365948
2024-10-23,55.28,56.4,55.28,56.1,1593420
2024-10-24,56.14,57.2,55.54,56.18,2173639
2024-10-25,56.2,56.32,55.5,55.94,1320769
2024-10-28,56.3,56.64,55.1,55.44,1412364
2024-10-29,55.5,57.5,55.5,57.5,2694807
2024-10-30,57.24,57.5,55.84,56,2495585
2024-10-31,55.6,56.28,55.2,55.8,4491728
2024-11-04,56.2,58.3,56.06,57.96,3232738
2024-11-05,57.96,58.14,57.5,58,2796388
2024-11-06,58.38,60.12,58.32,59.14,3853921
2024-11-07,59.14,60.9,58.96,60,5389922
2024-11-08,60.1,60.38,58.68,59.58,3892729
